,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,int_rate_groups,open_acc_groups,revol_util_groups,total_acc_groups,annual_inc_groups,installment_groups,loan_amnt_groups
4381,15000,15000, 60 months,20.89,404.88,F,F1,5,RENT,92000.0,Verified,Oct-11,Charged Off,debt_consolidation,22.34,Sep-02,1,8,0,90.3,14,21%-24%,2-10,80-100,2-20,85k-112k,403-531,10k-15k
4383,20000,20000, 60 months,22.06,553.07,F,F4,5,MORTGAGE,79864.0,Verified,Nov-11,Charged Off,debt_consolidation,11.14,May-97,0,7,1,91.1,27,21%-24%,2-10,80-100,20-37,85k-112k,531-660,15k-20k
4389,30000,30000, 36 months,10.65,977.2,B,B2,10,RENT,97000.0,Verified,Oct-11,Charged Off,house,22.74,Mar-99,1,15,0,21.1,26,9%-13%,10-19,20-40,20-37,112k-140k,918-1047,25k-30k
4400,17050,17050, 60 months,10.65,367.74,B,B2,4,RENT,30660.0,Verified,Nov-11,Charged Off,debt_consolidation,25.44,Sep-00,0,8,0,59.9,13,9%-13%,2-10,40-60,2-20,31k-58k,274-403,15k-20k
4408,12850,12850, 60 months,22.74,360.34,G,G1,3,RENT,60000.0,Source Verified,Nov-11,Charged Off,other,1.36,Oct-00,1,3,0,15.2,17,21%-24%,2-10,0-20,2-20,58k-85k,274-403,10k-15k
4420,21850,21850, 60 months,17.27,546.21,D,D3,10,MORTGAGE,50000.0,Verified,Nov-11,Charged Off,debt_consolidation,24.39,Mar-89,0,20,0,86.7,63,17%-21%,19-27,80-100,55-74,58k-85k,531-660,20k-25k
4422,34000,34000, 60 months,12.42,763.55,B,B4,4,OWN,85800.0,Verified,Nov-11,Charged Off,debt_consolidation,11.54,Oct-92,0,12,0,44.9,31,9%-13%,10-19,40-60,20-37,85k-112k,660-789,30k-35k
4432,5000,5000, 36 months,15.27,173.99,C,C4,10,MORTGAGE,54000.0,Source Verified,Oct-11,Charged Off,home_improvement,14.71,Sep-96,1,7,0,79.5,17,13%-17%,2-10,60-80,2-20,58k-85k,145-274,0-5k
4447,12000,12000, 36 months,6.62,368.45,A,A2,10,MORTGAGE,53000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,22.75,Dec-99,0,15,0,38.4,45,5%-9%,10-19,20-40,37-55,58k-85k,274-403,10k-15k
4448,4800,4800, 36 months,14.65,165.58,C,C3,8,MORTGAGE,46525.0,Not Verified,Oct-11,Charged Off,debt_consolidation,13.49,Jan-06,3,14,0,43.9,19,13%-17%,10-19,40-60,2-20,31k-58k,145-274,0-5k
4453,4000,4000, 36 months,7.9,125.17,A,A4,9,MORTGAGE,39000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,9.91,Oct-91,0,7,0,4.5,21,5%-9%,2-10,0-20,20-37,31k-58k,14-145,0-5k
4454,15000,15000, 36 months,12.69,503.18,B,B5,10,MORTGAGE,42655.8,Verified,Oct-11,Charged Off,debt_consolidation,5.94,Aug-84,3,5,0,71.2,13,9%-13%,2-10,60-80,2-20,31k-58k,403-531,10k-15k
4458,5000,5000, 60 months,14.27,117.05,C,C2,2,RENT,36000.0,Source Verified,Oct-11,Charged Off,major_purchase,14.07,Mar-03,0,6,0,37.1,11,13%-17%,2-10,20-40,2-20,31k-58k,14-145,0-5k
4468,2800,2800, 36 months,12.69,93.93,B,B5,6,RENT,64800.0,Verified,Nov-11,Charged Off,other,13.85,Sep-00,0,9,0,65.7,12,9%-13%,2-10,60-80,2-20,58k-85k,14-145,0-5k
4474,7500,7500, 36 months,14.27,257.32,C,C2,10,RENT,38400.0,Not Verified,Oct-11,Charged Off,other,23.81,Aug-98,0,7,0,63.0,27,13%-17%,2-10,60-80,20-37,31k-58k,145-274,5k-10k
4475,11625,11625, 60 months,10.65,250.74,B,B2,5,MORTGAGE,66000.0,Not Verified,Nov-11,Charged Off,small_business,11.49,Mar-00,2,13,0,10.0,20,9%-13%,10-19,0-20,20-37,58k-85k,145-274,10k-15k
4484,3000,3000, 36 months,7.9,93.88,A,A4,1,RENT,62400.0,Not Verified,Oct-11,Charged Off,other,8.98,Sep-98,4,11,0,50.3,15,5%-9%,10-19,40-60,2-20,58k-85k,14-145,0-5k
4490,5450,5450, 36 months,15.96,191.5,C,C5,10,RENT,43000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,18.33,Jul-96,1,7,0,96.8,17,13%-17%,2-10,80-100,2-20,31k-58k,145-274,5k-10k
4503,21725,21725, 60 months,20.89,586.4,F,F1,10,OWN,40000.0,Verified,Nov-11,Charged Off,debt_consolidation,15.12,Nov-99,2,9,1,38.7,25,21%-24%,2-10,20-40,20-37,31k-58k,531-660,20k-25k
4506,18000,18000, 60 months,19.03,467.23,E,E2,10,RENT,65000.0,Verified,Nov-11,Charged Off,debt_consolidation,21.62,Oct-93,3,12,0,45.4,57,17%-21%,10-19,40-60,55-74,58k-85k,403-531,15k-20k
4509,4200,4200, 36 months,9.91,135.35,B,B1,4,RENT,42000.0,Not Verified,Oct-11,Charged Off,other,20.83,Mar-00,0,10,0,26.2,23,9%-13%,2-10,20-40,20-37,31k-58k,14-145,0-5k
4511,14000,14000, 60 months,19.91,370.22,E,E4,10,RENT,51713.0,Verified,Nov-11,Charged Off,debt_consolidation,20.05,Mar-94,1,14,0,69.1,30,17%-21%,10-19,60-80,20-37,58k-85k,274-403,10k-15k
4513,3500,3500, 36 months,10.65,114.01,B,B2,10,RENT,55000.0,Source Verified,Oct-11,Charged Off,small_business,9.03,Sep-95,0,15,0,32.8,38,9%-13%,10-19,20-40,37-55,58k-85k,14-145,0-5k
4520,12000,12000, 60 months,14.27,280.91,C,C2,10,RENT,85000.0,Verified,Nov-11,Charged Off,medical,23.97,Sep-88,1,19,0,82.0,61,13%-17%,19-27,80-100,55-74,85k-112k,274-403,10k-15k
4532,2700,2700, 36 months,7.9,84.49,A,A4,3,MORTGAGE,88000.0,Verified,Oct-11,Charged Off,renewable_energy,26.82,Feb-88,1,15,0,71.2,48,5%-9%,10-19,60-80,37-55,85k-112k,14-145,0-5k
4549,30000,30000, 36 months,17.27,1073.62,D,D3,4,MORTGAGE,75000.0,Verified,Oct-11,Charged Off,small_business,9.22,Sep-02,1,4,0,18.3,10,17%-21%,2-10,0-20,2-20,85k-112k,1047-1176,25k-30k
4555,9950,9950, 36 months,15.27,346.24,C,C4,2,MORTGAGE,36400.0,Verified,Oct-11,Charged Off,debt_consolidation,23.54,Sep-03,1,20,0,92.1,30,13%-17%,19-27,80-100,20-37,31k-58k,274-403,5k-10k
4557,12000,12000, 60 months,12.69,271.14,B,B5,10,MORTGAGE,63500.0,Source Verified,Nov-11,Charged Off,debt_consolidation,17.65,Jul-85,0,12,0,31.5,25,9%-13%,10-19,20-40,20-37,58k-85k,145-274,10k-15k
4559,15000,15000, 60 months,19.91,396.66,E,E4,10,OWN,86000.0,Verified,Nov-11,Charged Off,credit_card,20.99,Nov-93,1,12,0,86.1,45,17%-21%,10-19,80-100,37-55,85k-112k,274-403,10k-15k
4560,21750,21750, 60 months,12.42,488.45,B,B4,0,OWN,43500.0,Verified,Nov-11,Charged Off,debt_consolidation,21.88,Dec-88,2,12,0,47.4,33,9%-13%,10-19,40-60,20-37,31k-58k,403-531,20k-25k
4563,6000,6000, 60 months,17.27,149.99,D,D3,4,MORTGAGE,32346.0,Not Verified,Oct-11,Charged Off,car,10.28,Aug-91,2,8,0,68.4,16,17%-21%,2-10,60-80,2-20,31k-58k,145-274,5k-10k
4568,23000,23000, 60 months,10.65,496.08,B,B2,6,MORTGAGE,107500.0,Verified,Nov-11,Charged Off,other,6.4,Oct-93,0,12,0,3.6,38,9%-13%,10-19,0-20,37-55,112k-140k,403-531,20k-25k
4571,10800,10800, 36 months,7.51,336.0,A,A3,10,MORTGAGE,51000.0,Verified,Oct-11,Charged Off,home_improvement,17.06,Jun-94,1,10,0,28.8,32,5%-9%,2-10,20-40,20-37,58k-85k,274-403,10k-15k
4603,8000,8000, 36 months,8.9,254.03,A,A5,3,RENT,27000.0,Source Verified,Oct-11,Charged Off,small_business,9.24,Feb-95,0,17,1,34.4,42,5%-9%,10-19,20-40,37-55,31k-58k,145-274,5k-10k
4606,16000,16000, 60 months,15.27,382.92,C,C4,1,MORTGAGE,55536.0,Not Verified,Nov-11,Charged Off,debt_consolidation,15.13,Oct-99,2,10,0,76.4,32,13%-17%,2-10,60-80,20-37,58k-85k,274-403,15k-20k
4608,1200,1200, 36 months,11.71,39.7,B,B3,3,RENT,20000.0,Source Verified,Nov-11,Charged Off,debt_consolidation,6.54,Jun-07,0,10,0,52.7,13,9%-13%,2-10,40-60,2-20,3k-31k,14-145,0-5k
4609,4000,4000, 36 months,6.62,122.82,A,A2,10,MORTGAGE,42000.0,Not Verified,Oct-11,Charged Off,car,12.49,Jun-94,1,7,0,27.6,27,5%-9%,2-10,20-40,20-37,31k-58k,14-145,0-5k
4613,8000,8000, 60 months,12.42,179.66,B,B4,4,RENT,38000.0,Verified,Oct-11,Charged Off,other,2.08,Sep-99,0,2,0,33.4,9,9%-13%,2-10,20-40,2-20,31k-58k,145-274,5k-10k
4614,12000,12000, 36 months,16.77,426.47,D,D2,10,RENT,60000.0,Verified,Oct-11,Charged Off,debt_consolidation,11.12,Oct-01,1,10,0,77.9,26,13%-17%,2-10,60-80,20-37,58k-85k,403-531,10k-15k
4619,14300,14300, 36 months,9.91,460.82,B,B1,8,MORTGAGE,52000.0,Verified,Oct-11,Charged Off,debt_consolidation,25.11,Oct-87,0,15,0,90.9,36,9%-13%,10-19,80-100,20-37,58k-85k,403-531,10k-15k
4623,9600,9600, 36 months,16.77,341.17,D,D2,5,RENT,45000.0,Source Verified,Nov-11,Charged Off,debt_consolidation,5.68,Jul-07,2,5,0,87.0,8,13%-17%,2-10,80-100,2-20,31k-58k,274-403,5k-10k
4628,10000,10000, 36 months,13.49,339.31,C,C1,3,MORTGAGE,30000.0,Not Verified,Oct-11,Charged Off,home_improvement,4.76,Sep-05,0,14,0,31.8,18,13%-17%,10-19,20-40,2-20,31k-58k,274-403,5k-10k
4629,35000,35000, 36 months,17.27,1252.56,D,D3,2,MORTGAGE,90000.0,Verified,Nov-11,Charged Off,small_business,17.49,Aug-69,2,28,0,28.2,57,17%-21%,27-36,20-40,55-74,85k-112k,1176-1305,30k-35k
4645,1500,1500, 36 months,16.29,52.96,D,D1,0,OWN,48000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,8.97,Jan-01,3,13,0,85.4,15,13%-17%,10-19,80-100,2-20,31k-58k,14-145,0-5k
4653,14500,14500, 60 months,14.65,342.3,C,C3,9,MORTGAGE,88080.0,Verified,Nov-11,Charged Off,debt_consolidation,19.3,Mar-92,3,7,0,87.6,18,13%-17%,2-10,80-100,2-20,85k-112k,274-403,10k-15k
4654,5850,5850, 60 months,17.58,147.22,D,D4,1,RENT,60000.0,Source Verified,Oct-11,Charged Off,major_purchase,13.12,Jun-07,1,7,0,20.1,7,17%-21%,2-10,20-40,2-20,58k-85k,145-274,5k-10k
4655,4000,4000, 36 months,20.89,150.48,F,F1,7,MORTGAGE,70000.0,Not Verified,Oct-11,Charged Off,other,14.97,Oct-80,2,33,0,16.9,52,21%-24%,27-36,0-20,37-55,58k-85k,145-274,0-5k
4658,5800,5800, 36 months,6.62,178.09,A,A2,10,RENT,26988.0,Verified,Oct-11,Charged Off,wedding,20.81,Nov-91,0,9,0,36.2,24,5%-9%,2-10,20-40,20-37,31k-58k,145-274,5k-10k
4662,3000,3000, 36 months,8.9,95.26,A,A5,2,MORTGAGE,22800.0,Not Verified,Oct-11,Charged Off,debt_consolidation,14.26,Oct-87,1,15,0,5.7,44,5%-9%,10-19,0-20,37-55,3k-31k,14-145,0-5k
4668,9400,9400, 36 months,8.9,298.49,A,A5,6,RENT,33000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,8.91,Nov-98,0,9,0,62.8,14,5%-9%,2-10,60-80,2-20,31k-58k,274-403,5k-10k
4671,15000,15000, 36 months,7.9,469.36,A,A4,3,RENT,80000.0,Source Verified,Oct-11,Charged Off,credit_card,9.08,Mar-00,0,13,0,35.8,31,5%-9%,10-19,20-40,20-37,85k-112k,403-531,10k-15k
4688,16000,16000, 60 months,19.91,423.11,E,E4,10,MORTGAGE,78000.0,Verified,Oct-11,Charged Off,debt_consolidation,18.38,Jan-01,2,12,1,56.7,16,17%-21%,10-19,40-60,2-20,85k-112k,403-531,15k-20k
4699,16800,16800, 36 months,16.77,597.05,D,D2,6,RENT,75000.0,Verified,Oct-11,Charged Off,debt_consolidation,7.34,Jan-98,1,6,0,73.8,31,13%-17%,2-10,60-80,20-37,85k-112k,531-660,15k-20k
4701,35000,35000, 60 months,19.91,925.54,E,E4,6,MORTGAGE,75000.0,Verified,Nov-11,Charged Off,debt_consolidation,13.65,Dec-98,1,15,0,38.4,32,17%-21%,10-19,20-40,20-37,85k-112k,918-1047,30k-35k
4702,20000,20000, 60 months,15.96,485.94,C,C5,10,MORTGAGE,98000.0,Verified,Nov-11,Charged Off,debt_consolidation,20.29,Jan-98,1,10,0,64.4,41,13%-17%,2-10,60-80,37-55,112k-140k,403-531,15k-20k
4703,12000,12000, 60 months,8.9,248.52,A,A5,10,MORTGAGE,77954.0,Not Verified,Oct-11,Charged Off,car,4.53,Sep-95,0,11,0,17.1,19,5%-9%,10-19,0-20,2-20,85k-112k,145-274,10k-15k
4705,6000,6000, 36 months,7.9,187.75,A,A4,5,RENT,51928.0,Not Verified,Oct-11,Charged Off,other,20.22,Nov-05,0,10,0,32.4,12,5%-9%,2-10,20-40,2-20,58k-85k,145-274,5k-10k
4712,8000,8000, 36 months,12.42,267.33,B,B4,1,RENT,25000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,19.54,Oct-06,1,10,0,38.8,22,9%-13%,2-10,20-40,20-37,3k-31k,145-274,5k-10k
4725,17500,17500, 60 months,20.89,472.36,F,F1,10,RENT,35000.0,Verified,Nov-11,Charged Off,debt_consolidation,18.65,Sep-97,2,5,0,1.8,18,21%-24%,2-10,0-20,2-20,31k-58k,403-531,15k-20k
4732,14000,14000, 60 months,14.65,330.5,C,C3,6,MORTGAGE,74000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,3.88,Dec-96,1,12,0,56.5,43,13%-17%,10-19,40-60,37-55,85k-112k,274-403,10k-15k
4762,5600,5600, 36 months,15.27,194.87,C,C4,0,RENT,85000.0,Verified,Oct-11,Charged Off,debt_consolidation,24.8,Jun-03,2,12,0,93.6,19,13%-17%,10-19,80-100,2-20,85k-112k,145-274,5k-10k
4767,8400,8400, 60 months,18.25,214.45,D,D5,0,OWN,45600.0,Source Verified,Oct-11,Charged Off,car,19.34,Aug-06,1,4,0,43.5,6,17%-21%,2-10,40-60,2-20,31k-58k,145-274,5k-10k
4769,5875,5875, 36 months,6.62,180.39,A,A2,10,MORTGAGE,22000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,19.42,Oct-97,0,7,0,65.5,22,5%-9%,2-10,60-80,20-37,3k-31k,145-274,5k-10k
4771,14000,14000, 60 months,18.64,360.41,E,E1,3,RENT,60000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,13.8,Jul-99,1,9,0,40.9,14,17%-21%,2-10,40-60,2-20,58k-85k,274-403,10k-15k
4775,13200,13200, 36 months,16.29,465.97,D,D1,10,MORTGAGE,49800.0,Verified,Oct-11,Charged Off,wedding,23.23,Feb-95,2,9,0,89.4,28,13%-17%,2-10,80-100,20-37,58k-85k,403-531,10k-15k
4781,35000,35000, 60 months,19.03,908.5,E,E2,10,MORTGAGE,75000.0,Verified,Nov-11,Charged Off,debt_consolidation,6.05,May-00,3,7,0,0.0,39,17%-21%,2-10,0-20,37-55,85k-112k,789-918,30k-35k
4784,18825,18825, 60 months,12.42,422.76,B,B4,3,RENT,42996.0,Verified,Nov-11,Charged Off,major_purchase,11.39,Oct-99,1,14,0,60.8,45,9%-13%,10-19,60-80,37-55,31k-58k,403-531,15k-20k
4787,12000,12000, 60 months,16.77,296.75,D,D2,0,MORTGAGE,77004.0,Source Verified,Oct-11,Charged Off,debt_consolidation,8.93,Sep-00,2,16,0,48.9,24,13%-17%,10-19,40-60,20-37,85k-112k,274-403,10k-15k
4793,22000,22000, 60 months,20.3,586.55,E,E5,8,MORTGAGE,63900.0,Verified,Nov-11,Charged Off,debt_consolidation,15.79,Dec-95,0,12,0,65.8,25,17%-21%,10-19,60-80,20-37,58k-85k,531-660,20k-25k
4797,14000,14000, 60 months,21.67,384.05,F,F3,7,RENT,42000.0,Verified,Nov-11,Charged Off,small_business,11.57,Dec-00,1,8,0,84.3,11,21%-24%,2-10,80-100,2-20,31k-58k,274-403,10k-15k
4801,15000,15000, 60 months,20.3,399.92,E,E5,1,MORTGAGE,95000.0,Verified,Nov-11,Charged Off,debt_consolidation,10.67,Apr-97,1,9,0,78.0,27,17%-21%,2-10,60-80,20-37,112k-140k,274-403,10k-15k
4803,1500,1500, 36 months,16.29,52.96,D,D1,1,RENT,27000.0,Not Verified,Oct-11,Charged Off,wedding,18.53,Sep-07,2,9,0,26.5,12,13%-17%,2-10,20-40,2-20,31k-58k,14-145,0-5k
4819,5500,5500, 60 months,21.28,149.67,F,F2,2,RENT,18000.0,Not Verified,Nov-11,Charged Off,debt_consolidation,18.87,Sep-08,2,4,0,70.2,4,21%-24%,2-10,60-80,2-20,3k-31k,145-274,5k-10k
4825,4000,4000, 36 months,13.49,135.73,C,C1,6,RENT,40000.0,Source Verified,Oct-11,Charged Off,other,22.59,Jan-98,0,14,0,95.5,20,13%-17%,10-19,80-100,20-37,31k-58k,14-145,0-5k
4826,4200,4200, 36 months,9.91,135.35,B,B1,10,RENT,28080.0,Verified,Oct-11,Charged Off,credit_card,12.61,Jan-90,0,10,1,62.1,14,9%-13%,2-10,60-80,2-20,31k-58k,14-145,0-5k
4833,3700,3700, 36 months,9.91,119.24,B,B1,4,RENT,35000.0,Not Verified,Oct-11,Charged Off,moving,16.49,Aug-99,0,8,1,26.9,16,9%-13%,2-10,20-40,2-20,31k-58k,14-145,0-5k
4843,8000,8000, 36 months,11.71,264.61,B,B3,5,MORTGAGE,62004.0,Not Verified,Oct-11,Charged Off,debt_consolidation,19.78,Sep-97,1,15,0,52.0,38,9%-13%,10-19,40-60,37-55,58k-85k,145-274,5k-10k
4846,13800,13800, 60 months,18.64,355.26,E,E1,3,MORTGAGE,62000.0,Verified,Oct-11,Charged Off,small_business,4.61,Dec-03,0,5,0,41.3,11,17%-21%,2-10,40-60,2-20,58k-85k,274-403,10k-15k
4876,35000,35000, 60 months,17.27,874.93,D,D3,10,MORTGAGE,80000.0,Verified,Nov-11,Charged Off,debt_consolidation,17.94,Dec-73,1,10,0,56.7,26,17%-21%,2-10,40-60,20-37,85k-112k,789-918,30k-35k
4879,18000,18000, 60 months,17.58,452.98,D,D4,5,RENT,36000.0,Verified,Oct-11,Charged Off,credit_card,10.33,Sep-03,0,5,0,35.1,12,17%-21%,2-10,20-40,2-20,31k-58k,403-531,15k-20k
4880,15000,15000, 60 months,11.71,331.48,B,B3,10,OWN,31200.0,Verified,Oct-11,Charged Off,credit_card,21.04,Oct-88,0,9,0,48.6,17,9%-13%,2-10,40-60,2-20,31k-58k,274-403,10k-15k
4893,1500,1500, 36 months,9.91,48.34,B,B1,10,RENT,32304.0,Source Verified,Oct-11,Charged Off,other,8.21,Apr-05,1,6,0,60.9,14,9%-13%,2-10,60-80,2-20,31k-58k,14-145,0-5k
4895,9500,9500, 60 months,18.25,242.54,D,D5,6,RENT,90000.0,Source Verified,Oct-11,Charged Off,small_business,10.62,Jan-06,3,8,0,57.0,16,17%-21%,2-10,40-60,2-20,85k-112k,145-274,5k-10k
4906,27575,27575, 60 months,17.58,693.94,D,D4,10,MORTGAGE,64000.0,Verified,Nov-11,Charged Off,home_improvement,10.76,Mar-01,2,7,0,72.7,23,17%-21%,2-10,60-80,20-37,58k-85k,660-789,25k-30k
4911,20000,20000, 36 months,17.58,718.85,D,D4,10,MORTGAGE,100000.0,Verified,Oct-11,Charged Off,home_improvement,11.82,Apr-91,3,13,0,24.8,37,17%-21%,10-19,20-40,37-55,112k-140k,660-789,15k-20k
4913,35000,35000, 60 months,22.74,981.45,G,G1,10,MORTGAGE,103000.0,Verified,Nov-11,Charged Off,debt_consolidation,17.8,Dec-00,2,11,0,93.9,42,21%-24%,10-19,80-100,37-55,112k-140k,918-1047,30k-35k
4915,15000,15000, 60 months,17.58,377.49,D,D4,3,RENT,80000.0,Not Verified,Oct-11,Charged Off,medical,9.5,May-03,1,9,0,54.7,13,17%-21%,2-10,40-60,2-20,85k-112k,274-403,10k-15k
4917,25000,25000, 60 months,17.58,629.14,D,D4,10,MORTGAGE,70000.0,Verified,Nov-11,Charged Off,debt_consolidation,14.61,Nov-91,0,8,0,77.0,14,17%-21%,2-10,60-80,2-20,58k-85k,531-660,20k-25k
4924,15000,15000, 60 months,18.25,382.95,D,D5,10,RENT,80400.0,Source Verified,Oct-11,Charged Off,debt_consolidation,15.46,May-00,2,15,0,46.1,27,17%-21%,10-19,40-60,20-37,85k-112k,274-403,10k-15k
4929,18000,18000, 60 months,15.27,430.78,C,C4,10,MORTGAGE,60000.0,Source Verified,Nov-11,Charged Off,home_improvement,9.9,Oct-99,3,6,0,26.4,18,13%-17%,2-10,20-40,2-20,58k-85k,403-531,15k-20k
4942,12000,12000, 60 months,19.03,311.49,E,E2,3,MORTGAGE,64000.0,Source Verified,Oct-11,Charged Off,small_business,15.45,Feb-00,2,9,0,90.3,20,17%-21%,2-10,80-100,20-37,58k-85k,274-403,10k-15k
4946,4200,4200, 36 months,9.91,135.35,B,B1,5,RENT,56650.0,Not Verified,Oct-11,Charged Off,other,16.06,Jan-00,0,5,0,74.7,37,9%-13%,2-10,60-80,37-55,58k-85k,14-145,0-5k
4950,8000,8000, 36 months,13.49,271.45,C,C1,2,RENT,61700.0,Not Verified,Oct-11,Charged Off,debt_consolidation,14.92,Apr-00,0,15,0,96.7,56,13%-17%,10-19,80-100,55-74,58k-85k,145-274,5k-10k
4956,35000,35000, 36 months,16.77,1243.85,D,D2,10,OWN,100000.0,Verified,Oct-11,Charged Off,other,18.19,Jan-98,1,8,0,85.2,12,13%-17%,2-10,80-100,2-20,112k-140k,1176-1305,30k-35k
4968,12500,12500, 36 months,6.03,380.45,A,A1,8,MORTGAGE,42000.0,Not Verified,Oct-11,Charged Off,credit_card,8.9,Aug-92,0,6,0,34.8,14,5%-9%,2-10,20-40,2-20,31k-58k,274-403,10k-15k
4972,17000,17000, 60 months,12.42,381.78,B,B4,10,RENT,50000.0,Verified,Oct-11,Charged Off,debt_consolidation,25.18,Sep-93,0,5,0,85.5,20,9%-13%,2-10,80-100,20-37,58k-85k,274-403,15k-20k
4973,25000,25000, 60 months,18.25,638.25,D,D5,10,OWN,70000.0,Verified,Oct-11,Charged Off,debt_consolidation,13.44,Apr-98,0,11,0,83.5,21,17%-21%,10-19,80-100,20-37,58k-85k,531-660,20k-25k
4977,11500,11500, 36 months,6.03,350.01,A,A1,1,MORTGAGE,27600.0,Source Verified,Oct-11,Charged Off,debt_consolidation,24.3,Jul-80,0,8,0,36.5,13,5%-9%,2-10,20-40,2-20,31k-58k,274-403,10k-15k
4993,6000,6000, 36 months,7.9,187.75,A,A4,10,OWN,69600.0,Not Verified,Oct-11,Charged Off,debt_consolidation,9.16,Dec-97,1,10,0,19.9,15,5%-9%,2-10,0-20,2-20,58k-85k,145-274,5k-10k
5000,10000,10000, 36 months,9.91,322.25,B,B1,4,RENT,24000.0,Source Verified,Oct-11,Charged Off,credit_card,10.6,Apr-05,0,8,0,44.4,15,9%-13%,2-10,40-60,2-20,3k-31k,274-403,5k-10k
5029,15000,15000, 36 months,18.25,544.17,D,D5,10,RENT,94000.0,Verified,Oct-11,Charged Off,debt_consolidation,5.63,Oct-89,0,5,0,96.1,16,17%-21%,2-10,80-100,2-20,112k-140k,531-660,10k-15k
5031,10375,10375, 36 months,14.27,355.96,C,C2,3,RENT,41280.0,Not Verified,Oct-11,Charged Off,other,23.78,Jan-06,0,7,0,57.4,15,13%-17%,2-10,40-60,2-20,31k-58k,274-403,10k-15k
5041,21000,21000, 60 months,12.42,471.61,B,B4,7,MORTGAGE,53000.0,Source Verified,Oct-11,Charged Off,other,13.06,Mar-05,2,11,0,10.1,24,9%-13%,10-19,0-20,20-37,58k-85k,403-531,20k-25k
5048,20000,20000, 60 months,20.89,539.84,F,F1,10,OWN,77000.0,Source Verified,Oct-11,Charged Off,small_business,15.63,May-97,2,11,0,80.8,24,21%-24%,10-19,80-100,20-37,85k-112k,531-660,15k-20k
5050,11000,11000, 60 months,17.58,276.83,D,D4,10,RENT,60000.0,Verified,Oct-11,Charged Off,debt_consolidation,14.46,Jul-96,3,8,0,68.4,21,17%-21%,2-10,60-80,20-37,58k-85k,274-403,10k-15k
5052,5000,5000, 36 months,7.9,156.46,A,A4,4,OWN,18000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,3.47,Jul-89,0,2,0,39.8,6,5%-9%,2-10,20-40,2-20,3k-31k,145-274,0-5k
5060,12000,12000, 36 months,7.51,373.33,A,A3,10,RENT,41830.08,Source Verified,Oct-11,Charged Off,credit_card,19.56,Sep-03,1,7,0,21.8,24,5%-9%,2-10,20-40,20-37,31k-58k,274-403,10k-15k
5063,5600,5600, 36 months,15.96,196.77,C,C5,0,RENT,40000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,10.29,Oct-06,1,15,0,42.0,19,13%-17%,10-19,40-60,2-20,31k-58k,145-274,5k-10k
5065,4000,4000, 36 months,14.27,137.24,C,C2,3,RENT,36000.0,Source Verified,Oct-11,Charged Off,debt_consolidation,13.17,Feb-91,2,5,0,89.3,7,13%-17%,2-10,80-100,2-20,31k-58k,14-145,0-5k
5085,1500,1500, 60 months,13.49,34.51,C,C1,4,MORTGAGE,48000.0,Not Verified,Oct-11,Charged Off,other,20.18,Dec-98,1,9,0,49.5,25,13%-17%,2-10,40-60,20-37,31k-58k,14-145,0-5k
5090,14000,14000, 60 months,16.77,346.21,D,D2,4,MORTGAGE,65000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,20.42,Apr-93,2,8,0,81.1,27,13%-17%,2-10,80-100,20-37,58k-85k,274-403,10k-15k
5094,7000,7000, 60 months,18.25,178.71,D,D5,0,RENT,20004.0,Not Verified,Oct-11,Charged Off,debt_consolidation,11.82,Jan-07,1,2,0,87.2,3,17%-21%,2-10,80-100,2-20,3k-31k,145-274,5k-10k
5101,20000,20000, 60 months,13.49,460.1,C,C1,10,MORTGAGE,53000.0,Verified,Oct-11,Charged Off,debt_consolidation,21.98,Oct-92,0,17,1,46.8,33,13%-17%,10-19,40-60,20-37,58k-85k,403-531,15k-20k
5105,3600,3600, 36 months,17.27,128.84,D,D3,10,MORTGAGE,23000.0,Not Verified,Oct-11,Charged Off,debt_consolidation,9.5,Dec-07,0,4,0,86.1,5,17%-21%,2-10,80-100,2-20,3k-31k,14-145,0-5k
5119,15350,15350, 60 months,13.49,353.13,C,C1,10,MORTGAGE,38400.0,Verified,Oct-11,Charged Off,debt_consolidation,28.63,Jul-00,1,6,0,61.4,20,13%-17%,2-10,60-80,20-37,31k-58k,274-403,15k-20k
5125,19425,19425, 60 months,12.42,436.24,B,B4,2,MORTGAGE,38702.78,Verified,Oct-11,Charged Off,debt_consolidation,18.45,Oct-00,1,10,0,27.5,20,9%-13%,2-10,20-40,20-37,31k-58k,403-531,15k-20k
